ID	body.mass.Bov	tail.length	vertebrates	invertebrates	fruits	seeds.nuts.grains	grass	leaves.branchs.and.bark.stem	roots.and.tubers	fossorial	ground.dwelling	aboveground.dwelling	aquatic	crepuscular	diurnal	nocturnal
Oligoryzomys_nigripes	20.33	116	0	1	1	1	1	1	0	0	1	0	0	0	0	1
Oxymycterus_caparoae	46.4	90.4	0	1	0	0	0	0	0	1	1	0	0	0	0	1
Oxymycterus_dasytrichus	94.9	125.2	0	1	0	0	0	0	0	1	1	0	0	0	0	1
Oxymycterus_delator	81.49	91	0	1	0	0	0	0	0	1	1	0	0	0	1	1
Oxymycterus_nasutus	68	86.7	0	1	0	0	0	0	0	1	1	0	0	0	0	1
Philander_frenatus	450	279.5	1	1	1	0	0	0	0	0	1	1	0	0	0	1
Phyllomys_brasiliensis	312.49	171	0	1	1	0	0	1	1	0	0	1	0	0	0	1
Phyllomys_nigrispinus	224.3	199	0	1	1	0	0	1	1	0	0	1	0	0	0	1
Phyllomys_pattoni	212.3	201.1	0	1	1	0	0	1	1	0	0	1	0	0	0	1
Pseudoryzomys_simplex	45.2	116	0	1	1	1	1	1	0	0	1	0	1	0	0	1
Rattus_norvegicus	282.89	215	1	1	0	1	0	0	0	0	1	0	1	0	1	1
Rattus_rattus	142.68	82.5	1	1	0	1	0	1	0	0	1	1	0	0	1	1
Rhagomys_rufescens	21.2	99.6	0	1	0	0	0	1	0	0	1	1	0	0	0	1
Rhipidomys_mastacalis	66	154	0	1	1	1	0	1	0	0	0	1	0	0	0	1
Scapteromys_tumidus	146	153	0	1	0	0	0	0	0	0	1	0	1	0	0	0
Sooretamys_angouya	120	192	0	0	1	1	0	1	0	0	1	1	0	0	0	1
Thaptomys_nigrita	19.9	44.5	0	1	1	1	0	0	0	1	1	0	0	0	1	1
Thrichomys_inermis	194	187	0	1	1	1	1	1	1	0	1	1	0	0	0	1
Thrichomys_laurentius	190	185.2	0	0	1	1	0	1	1	0	1	1	0	1	0	1
Thrichomys_pachyurus	330	189	0	1	1	1	1	1	0	0	1	1	0	0	0	1
Thylamys_velutinus	20.69	78	1	1	0	1	0	0	0	0	0	1	0	0	0	1
Trinomys_dimidiatus	167.6	170	0	0	1	1	0	0	0	0	1	0	0	0	0	1
Trinomys_eliasi	229	209	0	0	1	1	0	0	0	0	1	0	0	0	0	1
Trinomys_iheringi	220.39	191	0	0	1	1	0	0	0	0	1	0	0	0	0	1
Trinomys_mirapitanga	240	185	0	0	1	1	0	0	0	0	1	0	0	0	0	1
Trinomys_paratus	279.5	213.2	0	0	1	1	0	0	0	0	1	0	0	0	0	1
Trinomys_setosus	284.99	197	0	0	1	1	0	0	0	0	1	0	0	0	0	1
Wilfredomys_oenax	46.8	181	0	1	1	0	0	1	0	0	1	1	0	0	0	1
